,label1,centroid0,centroid1,area,minoraxislength,majoraxislength,eccentricity,minintensity,maxintensity,meanintensity,feretdiametermax,bbox01,bbox11,bbox21,bbox31,meanintensityfrangi,minintensityfrangi,maxintensityfrangi,type,lblpred1,label2,lblpred2,bbox02,bbox12,bbox22,bbox32,lblpred,plate,well,ImageNumber
7,10,230.0391644908616,1856.3942558746735,383,20.345667216708907,26.065227153715234,0.6250715931064504,3671,7699,5755.597911227154,28.0178514522438,218,1847,241,1870,0.0065487403506838,0,0,RES,N,2.0,N,168.0,1761.0,302.0,1902.0,N,B3,1,7
8,11,244.12255772646537,1728.360568383659,1126,36.87232648015932,43.78975538858146,0.5394293177473669,4339,8659,6419.314387211368,49.24428900898052,224,1703,272,1746,0.0046998875177824,0,0,RES,P,3.0,N,224.0,1672.0,272.0,1746.0,P,B3,1,7
9,12,255.8824194460147,1825.1226681741095,1769,49.22307219510607,61.60930860707784,0.6013906596079661,3969,8659,6158.873374788016,65.19202405202648,233,1796,289,1861,0.0057970284838394,0,0,RES,N,2.0,N,168.0,1761.0,302.0,1902.0,N,B3,1,7
10,13,253.06616862326572,1776.3553895410885,937,28.11211735675022,43.74391916801618,0.7661582085715355,4152,8108,6280.763073639274,44.654227123532216,235,1761,274,1795,0.0087167434023932,0,0,RES,P,2.0,N,168.0,1761.0,302.0,1902.0,P,B3,1,7
11,14,256.0934065934066,1697.07326007326,1092,31.41747254563565,45.60732731563177,0.7248858831450554,3924,7610,6054.693223443223,48.76474136094644,238,1672,272,1719,0.0080220148687069,0,0,RES,P,3.0,N,224.0,1672.0,272.0,1746.0,P,B3,1,7
12,15,262.75347222222223,1867.4780092592596,864,28.711521002540007,39.20862860726631,0.6810084319176818,4080,8715,6433.409722222223,43.965895873961216,241,1852,283,1883,0.0069909302778191,0,0,RES,P,2.0,N,168.0,1761.0,302.0,1902.0,P,B3,1,7
13,17,287.78365384615387,1859.098557692308,832,22.923981212487494,47.15288399711368,0.8738682211662318,4096,9070,6364.413461538462,46.84015371452148,273,1837,302,1882,0.0103430390546512,0,0,RES,P,2.0,N,168.0,1761.0,302.0,1902.0,P,B3,1,7
14,18,281.0025510204082,1962.515306122449,392,16.512275254885534,31.326361316716344,0.8498002913968833,2739,9628,6633.005102040816,31.38470965295043,272,1948,293,1976,0.0158677325396966,0,0,RES,N,4.0,N,272.0,1948.0,293.0,1976.0,N,B3,1,7
15,19,318.64391353811146,1648.560864618885,879,30.923957207847227,36.47937557079483,0.530458819775142,4360,8595,6349.825938566553,37.21558813185679,302,1632,337,1665,0.0062741237729802,0,0,RES,P,5.0,P,302.0,1632.0,337.0,1665.0,P,B3,1,7
16,20,394.0910543130991,1452.5255591054313,626,22.342253973627795,36.006257080348696,0.7841982831083679,4405,8809,6509.712460063898,36.40054944640259,382,1435,406,1470,0.007737033330906,0,0,RES,N,6.0,N,382.0,1435.0,406.0,1470.0,N,B3,1,7
17,21,420.9061522419187,1493.303441084463,959,29.31689660515413,42.30938125153883,0.7210171976606754,3654,7997,6058.791449426486,43.829214001622255,403,1475,438,1511,0.0123024297947826,0,0,RES,P,7.0,N,403.0,1434.0,480.0,1547.0,P,B3,1,7
18,22,439.11443210930827,1456.037574722459,1171,31.24197571912889,47.97117622252158,0.7588498859306672,4168,8529,6244.258753202391,48.373546489791295,420,1434,460,1477,0.0083013104700468,0,0,RES,P,7.0,N,403.0,1434.0,480.0,1547.0,P,B3,1,7
19,23,442.0419325433,1529.9917958067456,1097,32.29642848077236,43.88469926706094,0.6770486705072019,4135,7792,6117.496809480401,45.803929962395145,420,1512,462,1547,0.0091582507578925,0,0,RES,P,7.0,N,403.0,1434.0,480.0,1547.0,P,B3,1,7
20,24,441.977358490566,1497.669811320755,530,18.879812690304057,43.98134340962601,0.9031768436511682,7408,7564,7497.981132075472,42.5440947723653,430,1477,453,1517,0.0,0,0,RES,N,7.0,N,403.0,1434.0,480.0,1547.0,N,B3,1,7
21,25,464.415512465374,1486.7673130193905,1083,28.534500695828548,48.64023917342672,0.8098449902884712,3859,7815,6167.2686980609415,50.32891812864648,451,1464,480,1511,0.0090965673888664,0,0,RES,P,7.0,N,403.0,1434.0,480.0,1547.0,P,B3,1,7
